SERIES_NAME;EPISODE_NUMBER;TITLE;AIRDATE;WINNER_ID
Series 1 (UK);1;Melon buffet;2015-07-28;3
Series 1 (UK);2;The pie whisperer;2015-08-04;5
Series 1 (UK);3;The poet and the egg;2015-08-11;4
Series 1 (UK);4;Down an octave;2015-08-18;4
Series 1 (UK);5;Little denim shorts;2015-08-25;3
Series 1 (UK);6;The last supper;2015-09-01;7
Series 1 (NZ);1;Gluten Free;2020-10-21;11
Series 1 (NZ);2;A Political Hotcake;2020-10-28;14
Series 1 (NZ);3;D.A.P.;2020-11-04;11
Series 1 (NZ);4;I'm Queer, I'm Here;2020-11-11;12
Series 1 (NZ);5;Unhealth must be dead;2020-11-18;11
Series 1 (NZ);6;The problem is me;2020-11-25;10
Series 1 (NZ);7;An Intervention;2020-12-02;13
Series 1 (NZ);8;Sweaty socks and depression;2020-12-09;10
Series 1 (NZ);9;Astro blasters;2020-12-16;13
Series 1 (NZ);10;My Uncle John;2020-12-23;14
Series 3 (UK);1;A pea in a haystrack;2016-10-04;15
Series 3 (UK);2;The dong and the gong;2016-10-11;18
Series 3 (UK);3;Little polythene grief cave;2016-10-18;17
Series 3 (UK);4;A very nuanced character;2016-10-25;16
Series 3 (UK);5;The F.I.P.;2016-11-01;
