SERIES_NAME;EPISODE_NUMBER;TASK_NUMBER
Series 1 (UK);1;1
Series 1 (UK);1;2
Series 1 (UK);1;3
Series 1 (UK);1;4
Series 1 (UK);1;5
Series 1 (UK);2;1
Series 1 (UK);2;2
Series 1 (UK);2;3
Series 1 (UK);2;4
Series 1 (UK);2;5
Series 1 (UK);3;1
Series 1 (UK);3;2
Series 1 (UK);3;3
Series 1 (UK);3;4
Series 1 (UK);3;5
Series 1 (UK);3;6
Series 1 (UK);4;1
Series 1 (UK);4;2
Series 1 (UK);4;4
Series 1 (UK);4;5
Series 1 (UK);5;1
Series 1 (UK);5;2
Series 1 (UK);5;3
Series 1 (UK);5;5
Series 1 (UK);5;6
Series 1 (UK);6;1
Series 1 (UK);6;2
Series 1 (UK);6;4
Series 1 (UK);6;5
Series 1 (NZ);1;1
Series 1 (NZ);1;2
Series 1 (NZ);1;3
Series 1 (NZ);1;4
Series 1 (NZ);1;5
Series 1 (NZ);2;1
Series 1 (NZ);2;2
Series 1 (NZ);2;3
Series 1 (NZ);2;4
Series 1 (NZ);2;5
Series 1 (NZ);3;1
Series 1 (NZ);3;2
Series 1 (NZ);3;4
Series 1 (NZ);3;5
Series 1 (NZ);4;1
Series 1 (NZ);4;2
Series 1 (NZ);4;4
Series 1 (NZ);4;5
Series 1 (NZ);5;1
Series 1 (NZ);5;2
Series 1 (NZ);5;3
Series 1 (NZ);5;4
Series 1 (NZ);5;5
Series 1 (NZ);6;1
Series 1 (NZ);6;2
Series 1 (NZ);6;4
Series 1 (NZ);6;5
Series 1 (NZ);7;1
Series 1 (NZ);7;2
Series 1 (NZ);7;3
Series 1 (NZ);7;4
Series 1 (NZ);7;5
Series 1 (NZ);8;1
Series 1 (NZ);8;2
Series 1 (NZ);8;3
Series 1 (NZ);8;4
Series 1 (NZ);8;5
Series 1 (NZ);8;6
Series 1 (NZ);9;1
Series 1 (NZ);9;2
Series 1 (NZ);9;4
Series 1 (NZ);9;5
Series 1 (NZ);10;1
Series 1 (NZ);10;2
Series 1 (NZ);10;4
Series 1 (NZ);10;5
Series 3 (UK);1;1
Series 3 (UK);1;2
Series 3 (UK);1;3
Series 3 (UK);1;4
Series 3 (UK);1;5
Series 3 (UK);2;1
Series 3 (UK);2;2
Series 3 (UK);2;4
Series 3 (UK);2;5
Series 3 (UK);2;6
Series 3 (UK);3;1
Series 3 (UK);3;2
Series 3 (UK);3;3
Series 3 (UK);3;4
Series 3 (UK);3;5
Series 3 (UK);3;6
