SERIES_NAME;EPISODE_NUMBER;TASK_NUMBER;CANDIDATE_ID;POINTS;WASDISQUALIFIED
Series 1 (UK);1;1;3;4;0
Series 1 (UK);1;2;3;2;0
Series 1 (UK);1;3;3;5;0
Series 1 (UK);1;4;3;4;0
Series 1 (UK);1;5;3;4;0
Series 1 (UK);1;1;4;1;0
Series 1 (UK);1;2;4;3;0
Series 1 (UK);1;3;4;3;0
Series 1 (UK);1;4;4;3;0
Series 1 (UK);1;5;4;3;0
Series 1 (UK);1;1;5;2;0
Series 1 (UK);1;2;5;1;0
Series 1 (UK);1;3;5;1;0
Series 1 (UK);1;4;5;2;0
Series 1 (UK);1;5;5;1;0
Series 1 (UK);1;1;6;3;0
Series 1 (UK);1;2;6;5;0
Series 1 (UK);1;3;6;4;0
Series 1 (UK);1;4;6;5;0
Series 1 (UK);1;5;6;2;0
Series 1 (UK);1;1;7;5;0
Series 1 (UK);1;2;7;4;0
Series 1 (UK);1;3;7;2;0
Series 1 (UK);1;4;7;1;0
Series 1 (UK);1;5;7;5;0
Series 1 (UK);2;1;3;4;0
Series 1 (UK);2;2;3;2;0
Series 1 (UK);2;3;3;1;0
Series 1 (UK);2;4;3;1;0
Series 1 (UK);2;5;3;1;0
Series 1 (UK);2;1;4;2;0
Series 1 (UK);2;2;4;5;0
Series 1 (UK);2;3;4;3;0
Series 1 (UK);2;4;4;4;0
Series 1 (UK);2;5;4;3;0
Series 1 (UK);2;1;5;3;0
Series 1 (UK);2;2;5;4;0
Series 1 (UK);2;3;5;4;0
Series 1 (UK);2;4;5;5;0
Series 1 (UK);2;5;5;5;0
Series 1 (UK);2;1;6;1;0
Series 1 (UK);2;2;6;1;0
Series 1 (UK);2;3;6;3;0
Series 1 (UK);2;4;6;5;0
Series 1 (UK);2;5;6;4;0
Series 1 (UK);2;1;7;5;0
Series 1 (UK);2;2;7;3;0
Series 1 (UK);2;3;7;5;0
Series 1 (UK);2;4;7;3;0
Series 1 (UK);2;5;7;2;0
Series 1 (UK);3;1;3;4;0
Series 1 (UK);3;2;3;4;0
Series 1 (UK);3;3;3;2;0
Series 1 (UK);3;4;3;3;0
Series 1 (UK);3;5;3;0;0
Series 1 (UK);3;6;3;2;0
Series 1 (UK);3;1;4;2;0
Series 1 (UK);3;2;4;0;1
Series 1 (UK);3;3;4;5;0
Series 1 (UK);3;4;4;5;0
Series 1 (UK);3;5;4;5;0
Series 1 (UK);3;6;4;5;0
Series 1 (UK);3;1;5;1;0
Series 1 (UK);3;2;5;2;0
Series 1 (UK);3;3;5;1;0
Series 1 (UK);3;4;5;4;0
Series 1 (UK);3;5;5;0;0
Series 1 (UK);3;6;5;1;0
Series 1 (UK);3;1;6;5;0
Series 1 (UK);3;2;6;3;0
Series 1 (UK);3;3;6;4;0
Series 1 (UK);3;4;6;2;0
Series 1 (UK);3;5;6;4;0
Series 1 (UK);3;6;6;4;0
Series 1 (UK);3;1;7;3;0
Series 1 (UK);3;2;7;5;0
Series 1 (UK);3;3;7;3;0
Series 1 (UK);3;4;7;1;0
Series 1 (UK);3;5;7;0;0
Series 1 (UK);3;6;7;4;0
Series 1 (UK);4;1;3;3;0
Series 1 (UK);4;2;3;4;0
Series 1 (UK);4;4;3;5;0
Series 1 (UK);4;5;3;1;0
Series 1 (UK);4;1;4;4;0
Series 1 (UK);4;2;4;5;0
Series 1 (UK);4;4;4;3;0
Series 1 (UK);4;5;4;1;0
Series 1 (UK);4;1;5;2;0
Series 1 (UK);4;2;5;3;0
Series 1 (UK);4;4;5;1;0
Series 1 (UK);4;5;5;1;0
Series 1 (UK);4;1;6;1;0
Series 1 (UK);4;2;6;2;0
Series 1 (UK);4;4;6;4;0
Series 1 (UK);4;5;6;1;0
Series 1 (UK);4;1;7;5;0
Series 1 (UK);4;2;7;1;0
Series 1 (UK);4;4;7;1;0
Series 1 (UK);4;5;7;1;0
Series 1 (UK);5;1;3;4;0
Series 1 (UK);5;2;3;4;0
Series 1 (UK);5;3;3;3;0
Series 1 (UK);5;5;3;3;0
Series 1 (UK);5;6;3;4;0
Series 1 (UK);5;1;4;5;0
Series 1 (UK);5;2;4;5;0
Series 1 (UK);5;3;4;5;0
Series 1 (UK);5;5;4;1;0
Series 1 (UK);5;6;4;2;0
Series 1 (UK);5;1;5;1;0
Series 1 (UK);5;2;5;1;0
Series 1 (UK);5;3;5;2;0
Series 1 (UK);5;5;5;5;0
Series 1 (UK);5;6;5;5;0
Series 1 (UK);5;1;6;3;0
Series 1 (UK);5;2;6;2;0
Series 1 (UK);5;3;6;4;0
Series 1 (UK);5;5;6;4;0
Series 1 (UK);5;6;6;3;0
Series 1 (UK);5;1;7;2;0
Series 1 (UK);5;2;7;3;0
Series 1 (UK);5;3;7;1;0
Series 1 (UK);5;5;7;2;0
Series 1 (UK);5;6;7;0;1
Series 1 (UK);6;1;3;2;0	
Series 1 (UK);6;2;3;4;0	
Series 1 (UK);6;4;3;5;0	
Series 1 (UK);6;5;3;3;0	
Series 1 (UK);6;1;4;4;0	
Series 1 (UK);6;2;4;2;0	
Series 1 (UK);6;4;4;1;0	
Series 1 (UK);6;5;4;2;0	
Series 1 (UK);6;1;5;1;0	
Series 1 (UK);6;2;5;5;0	
Series 1 (UK);6;4;5;1;0	
Series 1 (UK);6;5;5;1;0	
Series 1 (UK);6;1;6;3;0	
Series 1 (UK);6;2;6;1;0	
Series 1 (UK);6;4;6;4;0	
