SERIES_NAME;EPISODE_NUMBER;TASK_NUMBER;DESCRIPTION;ISLIVETASK
Series 1 (UK);1;1;Most unusual item.;1
Series 1 (UK);1;2;In the lab, there is a watermelon. Eat as much watermelon as possible.;0
Series 1 (UK);1;3;Paint the best picture of a horse whilst riding a horse.;0
Series 1 (UK);1;4;Completely empty this bathtub. You must not remove the plug, tip or damage the bath.;0
Series 1 (UK);1;5;Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.;1
Series 1 (UK);1;6;Find Alex.;0
Series 1 (UK);2;1;Most impressive item.;1
Series 1 (UK);2;2;High-five a 55-year-old.;0
Series 1 (UK);2;3;Identify the contents of these pies. You may touch the pies, but may not breach their pastry.;0
Series 1 (UK);2;4;Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.;0
Series 1 (UK);2;5;Crack the code, unshackle yourself and sprint 1 metre.;1
Series 1 (UK);3;1;Most meaningful item.;1
Series 1 (UK);3;2;Throw a teabag into a mug from the farthest distance.;0
Series 1 (UK);3;3;Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.;0
Series 1 (UK);3;4;Buy the best present for the Taskmaster. Here is £20.;0
Series 1 (UK);3;5;Using only the items currently on this table, get this egg as high as possible. The egg must not break.;0
Series 1 (UK);3;6;Stand up after 100 seconds.;1
Series 1 (UK);3;7;What is Frank Skinner's age in minutes?;0
Series 1 (UK);4;1;Most beautiful item.;1
Series 1 (UK);4;2;Make this ice block disappear as fast as possible.;0
Series 1 (UK);4;3;Get to 11 points as fast as possible.;0
Series 1 (UK);4;4;Fill an egg cup with as many tears as possible.;0
Series 1 (UK);4;5;Memorise the names of an Australian rules football team.;1
Series 1 (UK);5;1;Most valuable item.;1
Series 1 (UK);5;2;Get this boulder as far from this place as possible.;0
Series 1 (UK);5;3;Grow the longest nail.;0
Series 1 (UK);5;4;Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.;0
Series 1 (UK);5;5;Make this Swedish person blush as deeply as possible.;0
Series 1 (UK);5;6;Blow up the biggest balloon whilst blindfolded.;1
Series 1 (UK);6;1;Most satisfying item.;1
Series 1 (UK);6;2;Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.;0
Series 1 (UK);6;3;Stage a realistic blooper from a home movie.;0
Series 1 (UK);6;4;Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.;0
Series 1 (UK);6;5;Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.;1
Series 1 (NZ);1;1;Best thing you can't live without.;1
Series 1 (NZ);1;2;Make a sculpture of something starting with your letter, only using items starting with your letter.;0
Series 1 (NZ);1;3;Create the fanciest cocktail using ingredients that rhyme with each other.;0
Series 1 (NZ);1;4;Choose a piece of fruit and hit it as far as possible with your choice of bread. You must use the first bread and first fruit you touch.;0
Series 1 (NZ);1;5;Pack a suitcase as closely to 23kg as possible. If you go over 23kg you will be disqualified.;1
Series 1 (NZ);2;1;Best thing within a thing.;1
Series 1 (NZ);2;2;Keep the balloon in the air the longest. You may strike the balloon but you may not hold it. Every strike must be with a unique object.;0
Series 1 (NZ);2;3;Reassemble the vase to its original condition;0
Series 1 (NZ);2;4;Throw a dart at the map and hit a country. Write and perform a new national anthem for your country.;0
Series 1 (NZ);2;5;Draw a map of New Zealand using yeast spread.;1
Series 1 (NZ);3;1;Least useful item.;1
Series 1 (NZ);3;2;Make this tree sexy.;0
Series 1 (NZ);3;3;Catch a grape with a tuba. You may not throw the grape.;0
Series 1 (NZ);3;4;Pack this piñata with the most surprising filling.;0
Series 1 (NZ);3;5;Write down a sport, an animal and a colour. Pack a suitcase as closely to 23kg as possible. If you go over 23kg you will be disqualified.;1
Series 1 (NZ);4;1;Best gift for an enemy.;1
Series 1 (NZ);4;2;Hide one of these vegetables completely inside another. If you use the same vegetable combination as someone else, you will both be disqualified.;0
Series 1 (NZ);4;3;Create a 90 second one-shot film. You must all appear in the film. One of you must hold the camera at all times. Your film must include three speaking characters, an impressive stunt and credits. You have one take.;0
Series 1 (NZ);4;4;Make this Mum proud.;0
Series 1 (NZ);4;5;Write the Taskmaster an anonymous poem. If the Taskmaster correctly guesses who wrote your poem, you lose your points.;1
Series 1 (NZ);5;1;Most beloved family heirloom.;1
Series 1 (NZ);5;2;Blow this egg the furthest from the table. If the egg breaks, your attempt will end.;0
Series 1 (NZ);5;3;Be as unhealthy as possible. You have 10 seconds from when you shout "Let's get this party started!".;0
Series 1 (NZ);5;4;Do the most impressive thing hands-free.;0
